val,time
9223372036854775708,5.480141000000006e-3
9223372036854775709,5.482009999999996e-3
9223372036854775710,5.484227000000007e-3
9223372036854775711,5.470246999999997e-3
9223372036854775712,5.473431000000012e-3
9223372036854775713,5.471888000000001e-3
9223372036854775714,5.500200000000002e-3
9223372036854775715,5.497498000000007e-3
9223372036854775716,5.470574000000003e-3
9223372036854775717,5.4770120000000025e-3
9223372036854775718,5.483099000000007e-3
9223372036854775719,5.4717519999999895e-3
9223372036854775720,5.479324000000001e-3
9223372036854775721,5.495848999999996e-3
9223372036854775722,5.474013999999996e-3
9223372036854775723,5.485301999999996e-3
9223372036854775724,5.475711999999996e-3
9223372036854775725,5.472078999999995e-3
9223372036854775726,5.492215000000002e-3
9223372036854775727,5.485691999999991e-3
9223372036854775728,5.500312999999999e-3
9223372036854775729,5.493161999999998e-3
9223372036854775730,5.491144000000005e-3
9223372036854775731,5.544084999999995e-3
9223372036854775732,5.505286999999996e-3
9223372036854775733,5.583875000000009e-3
9223372036854775734,5.533883999999996e-3
9223372036854775735,5.524355999999995e-3
9223372036854775736,5.530869000000001e-3
9223372036854775737,5.484806000000001e-3
9223372036854775738,5.482829000000012e-3
9223372036854775739,5.5064050000000015e-3
9223372036854775740,5.491517999999994e-3
9223372036854775741,5.498815999999995e-3
9223372036854775742,5.486692000000003e-3
9223372036854775743,5.491856999999998e-3
9223372036854775744,5.4803310000000015e-3
9223372036854775745,5.480150999999995e-3
9223372036854775746,5.518978000000004e-3
9223372036854775747,5.501047999999997e-3
9223372036854775748,5.503972000000006e-3
9223372036854775749,5.49877900000001e-3
9223372036854775750,5.488738000000003e-3
9223372036854775751,5.4750009999999984e-3
9223372036854775752,5.4662660000000035e-3
9223372036854775753,5.4658600000000055e-3
9223372036854775754,5.523794e-3
9223372036854775755,5.472203999999996e-3
9223372036854775756,5.488158000000004e-3
9223372036854775757,5.484620999999998e-3
9223372036854775758,5.510937999999994e-3
9223372036854775759,5.516111999999994e-3
9223372036854775760,5.49335099999999e-3
9223372036854775761,5.49124e-3
9223372036854775762,5.462993000000002e-3
9223372036854775763,5.477928000000002e-3
9223372036854775764,5.494032000000001e-3
9223372036854775765,5.479735e-3
9223372036854775766,5.472530999999996e-3
9223372036854775767,5.482488e-3
9223372036854775768,5.478024999999994e-3
9223372036854775769,5.470283000000003e-3
9223372036854775770,5.471600999999991e-3
9223372036854775771,5.481760999999995e-3
9223372036854775772,5.478032000000002e-3
9223372036854775773,5.475594000000004e-3
9223372036854775774,5.488008000000008e-3
9223372036854775775,5.507778999999999e-3
9223372036854775776,5.500612e-3
9223372036854775777,5.488997000000003e-3
9223372036854775778,5.480550999999994e-3
9223372036854775779,5.496467e-3
9223372036854775780,5.490456999999995e-3
9223372036854775781,5.473175000000001e-3
9223372036854775782,5.470606999999997e-3
9223372036854775783,5.471943000000004e-3
9223372036854775784,5.468669999999999e-3
9223372036854775785,5.475415000000001e-3
9223372036854775786,5.4688059999999945e-3
9223372036854775787,5.478340000000005e-3
9223372036854775788,5.473707000000007e-3
9223372036854775789,5.478797999999993e-3
9223372036854775790,5.482407999999997e-3
9223372036854775791,5.470641999999996e-3
9223372036854775792,5.477129000000004e-3
9223372036854775793,5.47863999999999e-3
9223372036854775794,5.475747000000007e-3
9223372036854775795,5.468147e-3
9223372036854775796,5.475908000000005e-3
9223372036854775797,5.462951000000004e-3
9223372036854775798,5.470330000000009e-3
9223372036854775799,5.459674000000001e-3
9223372036854775800,5.472259999999993e-3
9223372036854775801,5.467150000000005e-3
9223372036854775802,5.474179999999998e-3
9223372036854775803,5.476856999999994e-3
9223372036854775804,5.4792630000000085e-3
9223372036854775805,5.474013999999998e-3
9223372036854775806,5.472985999999996e-3
9223372036854775807,5.487975999999999e-3
